,name,seed,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31
0,Will Anderson,1,32,16,8,6,12,20,31,24,18,10,19,25,22,17,14,17,10.0,14,20,16,13,17,21,18,23,18,23,32,35,31,26
1,Nigel Richards,2,23,4,13,23,14,9,6,3,2,2,2,2,2,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2,Mack Meller,3,34,27,14,8,21,15,9,6,10,7,13,21,16,10,8,11,8.0,6,8,10,9,12,16,14,9,14,16,14,12,17,22
3,Ian Weinstein,4,5,18,31,21,35,25,20,14,20,13,9,6,10,8,5,9,13.0,10,14,19,14,18,24,31,38,31,27,21,16,13,11
4,Eric Tran,5,40,54,59,63,56,48,54,44,52,55,48,53,49,42,34,43,38.0,43,48,53,55,51,46,51,45,41,38,34,27,33,28
5,Rafi Stern,6,3,20,12,22,34,46,34,25,39,45,50,45,35,27,23,27,20.0,17,13,18,15,10,14,12,16,21,28,22,28,23,17
6,Joey Mallick,7,30,11,5,17,9,19,12,7,4,3,5,10,6,11,10,6,5.0,7,5,4,3,3,3,5,4,3,3,3,5,4,5
7,Jackson Smylie,8,24,7,9,3,8,13,8,16,25,34,40,33,37,45,35,30,23.0,21,15,9,8,6,9,13,17,13,11,8,6,8,6
8,Jason Li,9,25,37,44,51,44,51,36,45,36,44,36,28,23,30,39,35,29.0,24,18,13,18,27,20,29,22,26,21,31,25,20,15
9,Matthew Tunnicliffe,10,8,24,19,10,5,10,19,13,8,6,10,19,14,21,16,12,9.0,11,17,11,11,7,6,3,6,7,5,4,3,3,3
10,Joel Sherman,11,39,51,61,48,36,27,41,30,23,19,16,8,5,4,6,4,3.0,2,4,3,4,8,5,4,3,2,2,2,2,2,1
11,Alec Sjoholm,12,12,2,1,1,3,1,5,10,5,4,3,4,9,18,22,18,11.0,9,7,6,6,4,4,6,5,6,10,11,9,12,9
12,Avery Mojica,13,47,40,25,16,24,12,21,29,41,47,38,44,38,35,42,33,27.0,32,24,20,23,19,25,33,26,33,29,23,29,24,29
13,Scott Appel,14,10,39,48,54,58,52,57,50,44,35,39,47,51,54,49,46,48.0,55,50,45,40,34,28,23,30,23,15,13,11,15,12
14,Cesar Del Solar,15,53,61,64,46,54,59,53,58,51,43,49,43,34,43,48,44,39.0,28,22,17,22,29,37,30,37,30,26,20,15,22,18
15,Orry Swift,16,2,1,2,4,4,2,1,1,1,1,1,1,1,3,3,3,2.0,5,3,2,2,2,2,2,2,4,4,7,10,7,10
16,Charles Reinke,17,6,19,32,47,39,28,38,28,37,28,22,15,11,7,15,21,28.0,36,31,35,29,22,32,36,33,24,33,25,20,16,20
17,Chris Cree,18,4,5,3,5,1,3,10,19,14,9,6,3,3,2,2,2,7.0,4,6,7,12,15,22,19,24,19,13,18,14,11,16
18,Joey Krafchick,19,9,30,36,49,37,50,56,49,43,46,51,46,52,55,57,51,46.0,53,49,42,36,43,38,32,25,32,39,41,38,39,45
19,Joe Edley,20,65,65,65,61,53,57,62,56,49,42,34,40,33,26,21,26,19.0,13,10,14,19,16,13,17,14,10,9,10,13,10,14
20,Thomas Reinke,21,16,8,4,11,6,4,2,2,3,5,14,20,29,20,26,29,24.0,34,26,23,27,33,26,24,29,34,31,24,18,26,32
21,Joshua Sokol,22,18,9,6,2,2,7,4,8,15,24,30,24,18,13,18,13,15.0,12,9,12,10,14,12,9,11,8,6,9,7,9,7
22,Laurie Cohen,23,55,58,62,64,65,61,63,65,65,63,59,54,50,53,50,52,57.0,59,61,60,58,54,49,55,56,58,53,49,56,59,54
23,Seth Lipkin,24,49,33,42,34,18,29,26,35,45,48,54,49,42,48,53,56,53.0,44,39,44,41,35,41,43,40,38,34,37,40,36,40
24,Dean Saldanha,25,14,26,20,28,41,23,17,12,19,14,21,18,12,9,7,10,14.0,20,16,22,24,20,15,21,27,22,30,35,30,34,36
25,Karl Higby,26,46,55,45,24,15,24,16,11,6,12,8,5,4,6,4,8,12.0,16,12,8,7,5,8,7,8,12,14,12,17,14,19
26,Jerry Lerman,27,38,29,43,50,55,60,55,46,38,29,23,29,36,44,37,47,50.0,46,41,34,32,26,19,16,13,11,12,17,23,18,13
27,Matt Graham,28,26,15,28,13,11,6,7,4,7,16,12,7,15,23,17,22,31.0,23,29,26,17,11,10,8,10,15,17,15,19,25,21
28,Michael Fagen,29,45,52,33,26,19,11,18,15,11,23,17,9,19,12,11,14,16.0,25,19,27,31,25,18,27,20,16,18,27,33,27,33
29,Nigel Peltier,30,36,21,16,28,16,26,37,27,22,29,37,30,40,33,27,32,42.0,35,30,24,16,13,11,10,12,9,7,6,8,6,8
30,Ben Schoenbrun,31,7,3,17,34,42,33,27,20,12,8,4,11,8,5,9,5,4.0,3,2,5,5,9,7,11,7,5,8,5,4,5,4
31,Paul Epstein,32,51,41,57,58,60,64,59,62,62,65,61,63,64,61,60,57,54.0,48,53,56,59,55,57,58,55,57,60,58,55,50,53
32,Morris Greenberg,33,1,25,21,12,22,31,39,48,42,32,26,32,39,30,38,28,22.0,18,23,21,25,30,27,22,28,35,41,42,43,40,37
